"","taxa_id","Kingdom","Phylum","Class","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","SE_simple","female_maturity","male_maturity","Gestation","Weaning","Infancy","litter_size","litters_year","interbirth_interval","birth_weight","weaning_weight","adult_weight","growth_rate","max_longevity","metabolic_rate"
"1019",19634,"Animalia","Ostariophysi","Siluriformes","Loricariidae","Hypoptopomatinae","Otocinclus","Otocinclus flexilis","Imitator Sucker Catfish",3,0,0,"-",0,0,0,NA,0,0,NA,"-",3,0,3,1,0.577350269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1020",3714,"Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Salarias","Salarias fasciatus",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1021",223,"Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","Axolotl",73,5,0.068493151,"-",5,5,0.068493151,1,0,0,0,"-",73,5,73,18,0.117041147,18.0144641683103,18.0144641683103,0.591715976331361,-1,54.8,-1,-1,-1,-1,-1,-1,-1,204,-1
"1022",320,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus houstonensis",NA,18,0,0,"-",0,0,0,NA,0,0,NA,"-",18,0,18,3,0.23570226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023",1763,"Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Enteroctopus","Enteroctopus dofleini",NA,8,0,0,"-",0,0,0,NA,0,0,NA,"-",8,0,8,4,0.353553391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1024",2873,"Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Morone","Morone saxatilis",NA,4,0,0,"-",0,0,0,NA,0,0,NA,"-",4,0,4,1,0.5,-1,-1,-1,-1,11.8671545434973,-1,-1,-1,-1,-1,31350,-1,360,-1
"1025",2216,"Animalia","Chordata","Actinopterygii","Anguilliformes","Congridae","Heteroconger","Heteroconger hassi","Garden Eel",4,0,0,"-",0,0,0,NA,0,0,NA,"-",4,0,4,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1026",3364,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon glutinosus",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,29.9145299145299,29.9145299145299,-1,-1,91,21,-1,-1,-1,-1,4.2,-1,241.2,-1
"1027",19331,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus cucullatus","Red Siskin",4,0,0,"-",0,0,0,NA,0,0,NA,"-",4,0,4,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1028",19694,"Animalia","Acanthopterygii","Perciformes","Labroidei","Labridae","Centrolabrus","Centrolabrus exoletus","Rock Cook",2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1029",2449,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Ostraciidae","Lactophrys","Lactophrys bicaudalis",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1030",956,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Aracanidae","Capropygia","Capropygia unistriata",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1031",2084,"Animalia","Chordata","Aves","Passeriformes","Cotingidae","Gymnoderus","Gymnoderus foetidus",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,277,-1,-1,-1
"1032",3335,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Pituophis","Pituophis catenifer","Albino Bull Snake",25,9,0.36,"-",9,8,0.32,0.888888889,1,0.04,0.111111111,"-",25,9,25,11,0.2,-1,-1,-1,-1,13.3703274523402,5.5,-1,-1,-1,-1,7275.5,-1,405.6,-1
"1033",3436,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacanthidae","Pomacanthus","Pomacanthus xanthometopon",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1034",19621,"Animalia","Euchelicerata","Arachnida","Araneae","Eresidae","Stegodyphus","Stegodyphus sarasinorum","Indian Social Spider",6,0,0,"-",0,0,0,NA,0,0,NA,"-",6,0,6,1,0.40824829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1035",3197,"Animalia","Chordata","Mammalia","Rodentia","Pedetidae","Pedetes","Pedetes capensis",NA,3,1,0.333333333,"-",1,1,0.333333333,1,0,0,0,"-",3,1,3,2,0.577350269,33.9907955292571,11.1219592373439,2.62984878369494,1.51216305062459,1.51216305062459,0.98,3.6,3.32,275,1300,3500,-1,240,793.5
"1036",545,"Animalia","Chordata","Reptilia","Squamata","Elapidae","Aspidelaps","Aspidelaps lubricus",NA,8,1,0.125,"-",1,1,0.125,1,0,0,0,"-",8,1,8,5,0.353553391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1037",1284,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis multilineata",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038",556,"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1039",1467,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Coscoroba","Coscoroba coscoroba",NA,7,0,0,"-",0,0,0,NA,0,0,NA,"-",7,0,7,5,0.377964473,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4050,-1,-1,-1
"1040",1784,"Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus africanus",NA,2,1,0.5,"-",1,0,0,0,1,0.5,1,"-",2,1,2,1,0.707106781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041",833,"Animalia","Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Burhinus superciliaris","Peruvian Thick-knee",12,0,0,"-",0,0,0,NA,0,0,NA,"-",12,0,12,4,0.288675135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1042",22,"Animalia","Chordata","Reptilia","Squamata","Anguidae","Abronia","Abronia graminea",NA,6,0,0,"-",0,0,0,NA,0,0,NA,"-",6,0,6,3,0.40824829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043",1705,"Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus pileatus",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,11.6370808678501,11.9986850756082,0.591715976331361,-1,35.95,3.815,-1,-1,-1,-1,364,0.276,156,-1
"1044",943,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Canthigaster","Canthigaster punctatissima",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045",1710,"Animalia","Chordata","Amphibia","Anura","Microhylidae","Dyscophus","Dyscophus antongilii","Tamato frog",54,4,0.074074074,"-",4,2,0.037037037,0.5,2,0.037037037,0.5,"-",54,4,54,20,0.136082763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1046",2708,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Macrovipera","Macrovipera schweizeri",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,-1,-1,-1,-1,4.4699615447173,7.5,-1,-1,-1,-1,1306,-1,135.6,-1
"1047",2339,"Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Hyphessobrycon","Hyphessobrycon anisitsi",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048",567,"Animalia","Chordata","Mammalia","Primates","Cebidae","Ateles","Ateles fusciceps",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,49.8027613412229,60.0262984878369,7.46219592373438,13.4779750164366,13.4779750164366,1.01,0.5,28.99,400,2000,7000,-1,552,-1
"1049",818,"Animalia","Chordata","Aves","Bucerotiformes","Bucorvidae","Bucorvus","Bucorvus abyssinicus","Abyssinian Ground Hornbill",14,0,0,"-",0,0,0,NA,0,0,NA,"-",14,0,14,2,0.267261242,-1,-1,-1,-1,27.6900272681603,-1,-1,-1,70,-1,4000,-1,840,-1
"1050",2328,"Animalia","Chordata","Amphibia","Anura","Leiuperidae","Engystomops","Hymenochirus boettgeri",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051",2012,"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Glossophaga","Glossophaga soricina",NA,7,1,0.142857143,"-",1,1,0.142857143,1,0,0,0,"-",7,1,7,2,0.377964473,-1,-1,3.48454963839579,2.00525969756739,2.00525969756739,-1,-1,-1,-1,-1,10,-1,132,21.07
"1052",19792,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Heliconius","Heliconius melpomene","Postman Butterfly",3,0,0,"-",0,0,0,NA,0,0,NA,"-",3,0,3,1,0.577350269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1053",4481,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Vipera","Vipera aspis",NA,3,0,0,"-",0,0,0,NA,0,0,NA,"-",3,0,3,2,0.577350269,47.9947403024326,47.9947403024326,-1,-1,146,11.5,-1,-1,-1,-1,161,-1,300,-1
"1054",1187,"Animalia","Chordata","Actinopterygii","Perciformes","Cheilodactylidae","Cheilodactylus","Cheilodactylus vestitus",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055",19506,"Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Aphanius","Aphanius dispar","Arabian Killifish",38,0,0,"-",0,0,0,NA,0,0,NA,"-",38,0,38,1,0.162221421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1056",3500,"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris regilla",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057",901,"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Callocephalon","Callocephalon fimbriatum",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,41.8191321499014,-1,-1,-1,1272.138,-1,-1,-1,-1,-1,256,-1,330,-1
"1058",3180,"Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer luteus",NA,12,1,0.083333333,"-",1,1,0.083333333,1,0,0,0,"-",12,1,12,2,0.288675135,-1,-1,-1,-1,1,3.95,-1,-1,-1,-1,14,-1,-1,-1
"1059",415,"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Aonyx","Aonyx cinerea",NA,5,0,0,"-",0,0,0,NA,0,0,NA,"-",5,0,5,4,0.447213595,-1,-1,2.08119658119658,2.66272189349112,2.66272189349112,1.47,1.56,182.5,56.01,-1,3000,-1,121,-1
"1060",3108,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1061",1979,"Animalia","Chordata","Reptilia","Testudines","Testudinidae","Geochelone","Geochelone elegans",NA,8,0,0,"-",0,0,0,NA,0,0,NA,"-",8,0,8,7,0.353553391,119.986850756082,-1,-1,-1,3650,5.290357143,2.209685368,-1,18.7,-1,4225,-1,291.6,-1
"1062",551,"Animalia","Chordata","Amphibia","Anura","Myobatrachidae","Assa","Assa darlingtoni",NA,5,0,0,"-",0,0,0,NA,0,0,NA,"-",5,0,5,1,0.447213595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1063",8217,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Red forest duiker",1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,-1,-1,7.00197238658777,-1,6.01269163537194,-1,1.37,7.73,955,-1,10000,-1,182.4,-1
"1064",3441,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Pomoxis","Pomoxis annularis",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,-1,-1,-1,-1,3.95571818116575,-1,-1,-1,-1,-1,1292.5,-1,120,-1
"1065",293,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas falcata",NA,1,1,1,"-",1,1,1,1,0,0,0,"-",1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,649,-1,-1,-1
"1066",3355,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Plectropterus","Plectropterus gambensis",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,2,0.707106781,-1,-1,-1,-1,4.4699615447173,9.5,-1,-1,-1,-1,3869,-1,135.6,-1
"1067",4236,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus scriptus",NA,4,0,0,"-",0,0,0,NA,0,0,NA,"-",4,0,4,1,0.5,16.3050624589086,14.1883629191321,6.1801446416831,-1,46.3805,-1,1.5,7.76,3800,-1,60000,0.0044,183.6,-1
"1068",3408,"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Poicephalus","Poicephalus meyeri",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,2,0.707106781,-1,-1,-1,-1,13.5285561795869,-1,-1,-1,-1,-1,117.5,-1,410.4,-1
"1069",19329,"Animalia","Mollusca","Gastropoda",NA,"Helicidae","Cornu","Cornu aspersum","Garden snail",2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070",2571,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Leucosarcia","Leucosarcia melanoleuca",NA,3,1,0.333333333,"-",0,0,0,NA,0,0,NA,"-",3,1,3,2,0.577350269,-1,-1,-1,-1,6.44782063530017,-1,-1,-1,-1,-1,429,-1,195.6,-1
"1071",1944,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Gallicolumba","Gallicolumba xanthonura",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,2,0.707106781,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,111.8,-1,-1,-1
"1072",3767,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus niger",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,11.6042077580539,11.6042077580539,1.44641683103222,2.76134122287968,2.76134122287968,2.71,1.64,-1,15,-1,800,0.018,192,-1
"1073",3520,"Animalia","Chordata","Aves","Piciformes","Ramphastidae","Psilopogon","Psilopogon pyrolophus",NA,3,1,0.333333333,"-",1,1,0.333333333,1,0,0,0,"-",3,1,3,3,0.577350269,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,130.5,-1,-1,-1
"1074",2264,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Hippotragus","Hippotragus niger",NA,18,5,0.277777778,"-",10,5,0.277777778,1,0,0,0,"-",23,10,18,8,0.23570226,25.2465483234714,38.9217619986851,8.9086127547666,7.00197238658777,7.00197238658777,-1,1.1,12,16375,-1,225000,-1,266.4,-1
"1075",3294,"Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","Phycodurus","Phycodurus eques",NA,26,0,0,"-",0,0,0,NA,0,0,NA,"-",26,0,26,4,0.196116135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1076",2955,"Animalia","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","Neolamprologus brichardi","Lyretail lamprologus",7,0,0,"-",0,0,0,NA,0,0,NA,"-",7,0,7,3,0.377964473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077",13903,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Linaria","Linaria cannabina","Linnet",3,0,0,"-",0,0,0,NA,0,0,NA,"-",3,0,3,1,0.577350269,11.9986850756082,11.9986850756082,-1,-1,36.5,4.9,2.5,-1,1.11,-1,19.5,-1,112.8,-1
"1078",3209,"Animalia","Chordata","Reptilia","Testudines","Pelomedusidae","Pelomedusa","Pelomedusa subrufa",NA,10,0,0,"-",0,0,0,NA,0,0,NA,"-",10,0,10,3,0.316227766,-1,0.539119000657462,0.660749506903353,-1,16.4,-1,15,-1,-1,-1,-1,-1,241.2,-1
"1079",2185,"Animalia","Chordata","Chondrichthyes","Orectolobiformes","Hemiscylliidae","Hemiscyllium","Hemiscyllium ocellatum","Epaulette Shark",9,0,0,"-",0,0,0,NA,0,0,NA,"-",9,0,9,6,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080",1642,"Animalia","Chordata","Mammalia","Dasyuromorphia","Dasyuridae","Dasyurus","Dasyurus maculatus",NA,2,0,0,"-",51,0,0,0.941176471,0,0,0.058823529,"-",53,51,2,2,0.707106781,11.1768573307035,11.1768573307035,0.690335305719921,4.43786982248521,4.43786982248521,4.47,-1,12,-1,500,5500,-1,81.6,588.06
"1081",3664,"Animalia","Chordata","Reptilia","Squamata","Chamaeleonidae","Rhampholeon","Rhampholeon spinosus",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,-1,-1,-1,-1,1,3.5,-1,-1,-1,-1,-1,-1,-1,-1
"1082",726,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos javanicus",NA,4,2,0.5,"-",1,0,0,0,1,0.25,1,"-",4,2,4,2,0.5,23.9973701512163,26.2100591715976,9.69756738987508,9.99342537804076,9.99342537804076,1.22,-1,-1,-1,-1,7e+05,-1,325.2,-1
"1083",3871,"Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","Siganus","Siganus vulpinus","Foxface",5,0,0,"-",0,0,0,NA,0,0,NA,"-",5,0,5,4,0.447213595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1084",19819,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Eleodes","Eleodes armata","Pinnacate Beetle",1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085",16951,"Animalia","Chordata","Mammalia","Carnivora","Mephitidae","Mephitis","Mephitis mephitis","Striped Skunk",4,3,0.75,"-",3,2,0.5,0.666666667,1,0.25,0.333333333,"-",4,3,4,1,0.5,11.0124917817226,11.0124917817226,2.07100591715976,1.9723865877712,1.9723865877712,5.7,1.21,12,33.5,493.5,3500,0.0143,166.8,638.4
"1086",2707,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Macrovipera","Macrovipera lebetina",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,-1,-1,-1,-1,5.26110518095045,13,-1,-1,-1,-1,1306,-1,159.6,-1
