n,min,model,pval,simslope,slope
298,1,Compar,8.78E-05,0,2.88E-07
311,20,PGLSSEY,0.76,0,-9.20E-09
311,20,PGLSSEYOPTIM,0.73,0,-1.05E-08
311,20,Compar,0.00333697,0,3.24E-07
304,20,PGLSSEY,0.54,0,-8.84E-09
304,20,PGLSSEYOPTIM,0.52,0,-9.31E-09
NA,NA,Compar,NA,NA,NA
309,10,PGLSSEY,0.63,0,1.90E-08
309,10,PGLSSEYOPTIM,0.79,0,1.02E-08
309,10,Compar,0.056690073,0,2.60E-07
288,10,PGLSSEY,0.51,0,2.17E-08
288,10,PGLSSEYOPTIM,0.41,0,2.71E-08
288,10,Compar,2.22E-15,0,1.65E-06
306,20,PGLSSEY,0.33,0,9.07E-08
306,20,PGLSSEYOPTIM,0.37,0,8.40E-08
306,20,Compar,8.85E-06,0,1.67E-06
295,10,PGLSSEY,0.71,0,-2.07E-08
295,10,PGLSSEYOPTIM,0.64,0,-2.61E-08
NA,NA,Compar,NA,NA,NA
303,10,PGLSSEY,0.53,0,-9.03E-09
303,10,PGLSSEYOPTIM,0.77,0,-4.26E-09
303,10,Compar,0.01833137,0,-1.21E-07
291,5,PGLSSEY,0.2,0,-3.09E-08
291,5,PGLSSEYOPTIM,0.26,0,-2.75E-08
291,5,Compar,0.718166052,0,2.81E-08
299,10,PGLSSEY,0.86,0,-1.62E-08
299,10,PGLSSEYOPTIM,0.9,0,-1.17E-08
NA,NA,Compar,NA,NA,NA
309,20,PGLSSEY,0.94,0,7.55E-09
309,20,PGLSSEYOPTIM,0.066,0,-1.83E-07
309,20,Compar,0.002010134,0,1.11E-06
301,5,PGLSSEY,0.16,0,1.30E-07
301,5,PGLSSEYOPTIM,0.11,0,1.45E-07
NA,NA,Compar,NA,NA,NA
302,1,PGLSSEY,0.98,0,-1.82E-09
302,1,PGLSSEYOPTIM,0.41,0,-4.79E-08
302,1,Compar,0.000371505,0,-7.93E-07
304,5,PGLSSEY,0.19,0,-1.85E-08
304,5,PGLSSEYOPTIM,0.16,0,-2.06E-08
304,5,Compar,0.00831655,0,-1.43E-07
306,5,PGLSSEY,0.23,0,-4.81E-08
306,5,PGLSSEYOPTIM,0.33,0,-3.91E-08
306,5,Compar,0.775181825,0,3.91E-08
296,1,PGLSSEY,0.52,0,-9.64E-09
296,1,PGLSSEYOPTIM,0.53,0,-9.37E-09
296,1,Compar,4.60E-13,0,6.09E-07
301,20,PGLSSEY,0.65,0,-1.04E-08
301,20,PGLSSEYOPTIM,0.64,0,-1.08E-08
301,20,Compar,0.337610946,0,-7.65E-08
301,10,PGLSSEY,0.2,0,1.81E-08
301,10,PGLSSEYOPTIM,0.21,0,1.78E-08
NA,NA,Compar,NA,NA,NA
298,10,PGLSSEY,0.38,0,-1.32E-08
298,10,PGLSSEYOPTIM,0.31,0,-1.52E-08
298,10,Compar,0.01315255,0,-1.28E-07
302,5,PGLSSEY,0.56,0,-8.23E-09
302,5,PGLSSEYOPTIM,0.5,0,-9.37E-09
NA,NA,Compar,NA,NA,NA
294,20,PGLSSEY,0.19,0,4.29E-08
294,20,PGLSSEYOPTIM,0.15,0,4.72E-08
294,20,Compar,0.183282068,0,1.50E-07
299,20,PGLSSEY,0.79,0,4.89E-09
299,20,PGLSSEYOPTIM,0.81,0,4.35E-09
299,20,Compar,0.013681321,0,-1.56E-07
313,1,PGLSSEY,0.87,0,3.23E-09
313,1,PGLSSEYOPTIM,0.76,0,5.75E-09
NA,NA,Compar,NA,NA,NA
298,1,PGLSSEY,0.33,0,-3.65E-08
298,1,PGLSSEYOPTIM,0.11,0,-5.96E-08
298,1,Compar,2.00E-15,0,1.88E-06
301,10,PGLSSEY,0.24,0,-1.61E-08
301,10,PGLSSEYOPTIM,0.28,0,-1.49E-08
301,10,Compar,4.50E-07,0,-2.92E-07
303,5,PGLSSEY,0.16,0,6.14E-08
303,5,PGLSSEYOPTIM,0.17,0,6.07E-08
303,5,Compar,0.2012546,0,-1.95E-07
302,1,PGLSSEY,0.97,0,4.19E-09
302,1,PGLSSEYOPTIM,0.65,0,4.48E-08
302,1,Compar,0.175942393,0,-4.38E-07
305,1,PGLSSEY,0.68,0,-8.40E-09
305,1,PGLSSEYOPTIM,0.8,0,-5.30E-09
305,1,Compar,0.005077888,0,-2.20E-07
302,10,PGLSSEY,0.11,0,1.44E-07
302,10,PGLSSEYOPTIM,0.1,0,1.48E-07
302,10,Compar,0.006312851,0,8.84E-07
304,1,PGLSSEY,0.74,0,-4.82E-09
304,1,PGLSSEYOPTIM,0.79,0,-3.72E-09
304,1,Compar,0.112526238,0,-7.89E-08
313,20,PGLSSEY,0.28,0,4.68E-08
313,20,PGLSSEYOPTIM,0.27,0,4.71E-08
NA,NA,Compar,NA,NA,NA
286,20,PGLSSEY,0.59,0,1.26E-08
286,20,PGLSSEYOPTIM,0.54,0,1.39E-08
