"","n","min","model","pval","simslope","slope"
"x4028",46,20,"PGLSSEY",0.87,0,4.98592792553013e-08
"x13028",46,20,"PGLSSEYOPTIM",0.84,0,6.11214602631462e-08
"13028",46,20,"Compar",0.658060099990647,0,4.82467129932858e-07
"x4029",45,20,"PGLSSEY",0.65,0,1.07895491320595e-07
"x13029",45,20,"PGLSSEYOPTIM",0.86,0,3.97388685849528e-08
"13029",45,20,"Compar",0.116618583379005,0,-1.43204601463941e-06
"x4030",47,20,"PGLSSEY",0.99,0,-9.55001608108001e-10
"x13030",47,20,"PGLSSEYOPTIM",0.97,0,5.40511056349918e-09
"13030",47,20,"Compar",0.365497676997433,0,4.91263782628799e-07
"x4031",47,20,"PGLSSEY",0.75,0,-7.15028658629862e-08
"x13031",47,20,"PGLSSEYOPTIM",0.71,0,-8.54423589840269e-08
"13031",47,20,"Compar",0.40303069895568,0,-6.58899652755569e-07
"x4032",43,20,"PGLSSEY",0.66,0,-5.69362088933098e-08
"x13032",43,20,"PGLSSEYOPTIM",0.74,0,-4.26654397718089e-08
"13032",43,20,"Compar",0.15204898186315,0,6.21577177731807e-07
"x4033",43,20,"PGLSSEY",0.42,0,-3.93862531341311e-08
"x13033",43,20,"PGLSSEYOPTIM",0.56,0,-2.95399408847121e-08
"13033",43,20,"Compar",0.0710011747621051,0,-3.20475207283848e-07
"x4034",47,20,"PGLSSEY",0.71,0,7.52618653269834e-08
"x13034",47,20,"PGLSSEYOPTIM",0.71,0,7.43532685561027e-08
"13034",47,20,"Compar",0.987811772012716,0,1.11260036716659e-08
"x4035",50,20,"PGLSSEY",0.98,0,-2.40327957047546e-09
"x13035",50,20,"PGLSSEYOPTIM",0.95,0,6.88626726710083e-09
"13035",50,20,"Compar",0.595451188279608,0,-2.04927375585345e-07
"x4036",48,20,"PGLSSEY",0.65,0,1.87251980356971e-08
"x13036",48,20,"PGLSSEYOPTIM",0.75,0,1.39839047771813e-08
"13036",48,20,"Compar",0.471369361949491,0,-1.02070462651179e-07
"x4037",48,20,"PGLSSEY",0.95,0,-1.47243004622299e-08
"x13037",48,20,"PGLSSEYOPTIM",0.88,0,-3.73292063851166e-08
"13037",48,20,"Compar",0.34462229423025,0,8.14945590723095e-07
"x4038",45,20,"PGLSSEY",0.53,0,-1.7063502880411e-07
"x13038",45,20,"PGLSSEYOPTIM",0.54,0,-1.67786308278695e-07
"13038",45,20,"Compar",0.0708580138993149,0,-1.84280936677125e-06
"x4039",46,20,"PGLSSEY",0.78,0,-5.84567546992906e-08
"x13039",46,20,"PGLSSEYOPTIM",0.76,0,-6.32280773638293e-08
"13039",46,20,"Compar",0.0907200504590264,0,1.26921085789222e-06
"x4040",46,20,"PGLSSEY",0.91,0,-6.88216242672722e-09
"x13040",46,20,"PGLSSEYOPTIM",0.6,0,-3.09632346761526e-08
"13040",NA,NA,"Compar",NA,NA,NA
"x4041",46,20,"PGLSSEY",1,0,2.87243634241811e-10
"x13041",46,20,"PGLSSEYOPTIM",0.83,0,1.91731971019196e-08
"13041",46,20,"Compar",0.0112944168356512,0,1.04716908913476e-06
"x4042",47,20,"PGLSSEY",0.89,0,-3.00383959688875e-08
"x13042",47,20,"PGLSSEYOPTIM",0.77,0,-6.01161445229456e-08
"13042",47,20,"Compar",0.905787514744856,0,-8.97507199799317e-08
"x4043",45,20,"PGLSSEY",0.69,0,9.15436754101027e-08
"x13043",45,20,"PGLSSEYOPTIM",0.7,0,9.29051127240316e-08
"13043",45,20,"Compar",0.0201077889831578,0,2.05718154929761e-06
"x4044",44,20,"PGLSSEY",0.64,0,-1.35825442360132e-07
"x13044",44,20,"PGLSSEYOPTIM",0.84,0,-5.9982488517495e-08
"13044",44,20,"Compar",0.66329042311273,0,-4.36858275651686e-07
"x4045",47,20,"PGLSSEY",0.69,0,-2.83301617148239e-08
"x13045",47,20,"PGLSSEYOPTIM",0.8,0,-1.8734773075153e-08
"13045",47,20,"Compar",0.3187180819847,0,-2.54465280069228e-07
