"n","min","model","pval","simslope","slope"
44,20,"Compar",3.72964104045082e-10,0.626793766015466,11.6463718465041
49,1,"PGLSSEY",3.5e-41,1.75766704361763,2.04341009125221
49,1,"PGLSSEYOPTIM",6e-42,1.75766704361763,2.0601918602658
49,1,"Compar",8.83832889098102e-08,1.75766704361763,4.22270662301989
46,5,"PGLSSEY",2.4e-42,-1.59078948453167,-2.48150782611052
46,5,"PGLSSEYOPTIM",1.2e-41,-1.59078948453167,-2.44470412854642
46,5,"Compar",6.13267214788493e-10,-1.59078948453167,-5.63510795739776
47,20,"PGLSSEY",1.2e-30,1.37038910040654,1.66111930748883
47,20,"PGLSSEYOPTIM",6.9e-30,1.37038910040654,1.62652541807117
47,20,"Compar",5.76362513271533e-10,1.37038910040654,4.2552684719513
43,10,"PGLSSEY",1.9e-43,-1.17981908503044,-3.71973852535145
43,10,"PGLSSEYOPTIM",3.9e-43,-1.17981908503044,-3.65460672289706
43,10,"Compar",4.13484357864036e-10,-1.17981908503044,-7.53253750979784
46,5,"PGLSSEY",3.1e-32,-0.597785641518285,-1.57740143808805
46,5,"PGLSSEYOPTIM",1.9e-31,-0.597785641518285,-1.49718399923154
46,5,"Compar",8.43769498715119e-15,-0.597785641518285,-3.48342630402619
49,10,"PGLSSEY",3.4e-45,-0.844505608933318,-2.85341503726491
49,10,"PGLSSEYOPTIM",3.1e-44,-0.844505608933318,-2.84224817917801
49,10,"Compar",6.94950763602264e-11,-0.844505608933318,-5.64246940065699
46,1,"PGLSSEY",9.4e-48,0.744339988292828,3.61798874517887
46,1,"PGLSSEYOPTIM",2.2e-48,0.744339988292828,3.60990845220754
46,1,"Compar",1.80757631085271e-11,0.744339988292828,7.76344303701109
49,5,"PGLSSEY",2.2e-56,-0.184413846199885,-4.63953525052942
49,5,"PGLSSEYOPTIM",6.9e-57,-0.184413846199885,-4.70210717297015
49,5,"Compar",1.30907729101182e-10,-0.184413846199885,-9.2045455660911
45,5,"PGLSSEY",5.9e-39,0.910329046041808,2.932053930329
45,5,"PGLSSEYOPTIM",6.6e-37,0.910329046041808,2.86367737745166
45,5,"Compar",1.65752522818252e-09,0.910329046041808,6.55344109400189
45,20,"PGLSSEY",6e-27,0.866334466309652,0.93480302983965
45,20,"PGLSSEYOPTIM",4.9e-27,0.866334466309652,0.925821460236249
45,20,"Compar",1.09590780894564e-10,0.866334466309652,2.59560729841253
44,1,"PGLSSEY",2e-40,-0.0700906120657099,-2.8315446255737
44,1,"PGLSSEYOPTIM",2.1e-38,-0.0700906120657099,-2.63252938783986
44,1,"Compar",3.86231361559908e-06,-0.0700906120657099,-5.45016725015191
47,10,"PGLSSEY",1.9e-41,-0.609771985288843,-2.61404121008534
47,10,"PGLSSEYOPTIM",3.2e-42,-0.609771985288843,-2.65547152304814
47,10,"Compar",1.20821130877857e-10,-0.609771985288843,-5.4696115278789
49,20,"PGLSSEY",6.6e-47,-1.93344224853348,-3.19466613736764
49,20,"PGLSSEYOPTIM",6.4e-48,-1.93344224853348,-3.08026130181263
49,20,"Compar",5.80504533331805e-11,-1.93344224853348,-6.74752504916496
47,10,"PGLSSEY",2.1e-37,-0.297984352796512,-2.5889587386786
47,10,"PGLSSEYOPTIM",1.3e-38,-0.297984352796512,-2.63793203205782
47,10,"Compar",8.90709728196271e-10,-0.297984352796512,-6.17041217083846
48,1,"PGLSSEY",9.5e-39,1.87081707108998,2.29975886736259
48,1,"PGLSSEYOPTIM",1e-39,1.87081707108998,2.36467702443739
48,1,"Compar",1.17629006690656e-06,1.87081707108998,4.29253728074137
46,10,"PGLSSEY",6.7e-50,0.589177949947541,4.36789190748808
46,10,"PGLSSEYOPTIM",4.8e-50,0.589177949947541,4.26432227472344
46,10,"Compar",1.69260827576068e-10,0.589177949947541,11.0020960199753
49,5,"PGLSSEY",1.7e-49,0.571228187255437,2.79851343150375
49,5,"PGLSSEYOPTIM",8.3e-50,0.571228187255437,2.76922086706215
49,5,"Compar",2.47446507728455e-12,0.571228187255437,6.57354581092126
47,20,"PGLSSEY",6.4e-36,1.17433047486952,2.1047793041605
47,20,"PGLSSEYOPTIM",7.5e-39,1.17433047486952,2.27011279103938
47,20,"Compar",4.09894340691608e-13,1.17433047486952,4.55529394178098
47,5,"PGLSSEY",3.9e-47,0.471611897948961,3.28214148689684
47,5,"PGLSSEYOPTIM",3.8e-45,0.471611897948961,3.26088905248692
47,5,"Compar",9.94151871935856e-10,0.471611897948961,6.86703698658954
49,1,"PGLSSEY",2.9e-38,-1.14623687845126,-1.62306723369836
49,1,"PGLSSEYOPTIM",5.9e-40,-1.14623687845126,-1.63469508001465
49,1,"Compar",7.9411299758192e-10,-1.14623687845126,-4.22856813494828
43,20,"PGLSSEY",1.7e-41,1.35713238974184,3.25515571296552
43,20,"PGLSSEYOPTIM",2.3e-42,1.35713238974184,3.22953322770903
43,20,"Compar",2.61182853122932e-10,1.35713238974184,7.35746594494951
47,10,"PGLSSEY",2e-55,0.153148083913793,4.87259688961813
47,10,"PGLSSEYOPTIM",2.3e-53,0.153148083913793,4.82062992901994
47,10,"Compar",2.90309998263183e-11,0.153148083913793,10.3557300761951
49,1,"PGLSSEY",4.8e-42,1.76466872707268,2.03093284488263
49,1,"PGLSSEYOPTIM",5.6e-43,1.76466872707268,2.02742416255607
49,1,"Compar",1.15312824178204e-07,1.76466872707268,4.63809623964107
45,5,"PGLSSEY",7e-38,0.469124423707342,2.38469225276731
45,5,"PGLSSEYOPTIM",5.6e-38,0.469124423707342,2.36097060844972
45,5,"Compar",1.35107924847944e-10,0.469124423707342,5.23072630168964
46,20,"PGLSSEY",1.4e-41,1.79433627175678,2.40717862246095
46,20,"PGLSSEYOPTIM",3.8e-40,1.79433627175678,2.28908276381297
46,20,"Compar",6.62359056491368e-13,1.79433627175678,5.26245252957644
48,10,"PGLSSEY",2.8e-42,-1.17749948262234,-2.38993066071681
48,10,"PGLSSEYOPTIM",1.1e-43,-1.17749948262234,-2.37555128370461
48,10,"Compar",1.17861276294207e-12,-1.17749948262234,-4.8338269229971
46,20,"PGLSSEY",1e-37,-0.389151008088004,-2.33316570961774
46,20,"PGLSSEYOPTIM",1.8e-40,-0.389151008088004,-2.3782332473948
46,20,"Compar",7.71263053422899e-11,-0.389151008088004,-5.37347196995285
48,5,"PGLSSEY",5.2e-52,-0.158986700016361,-4.71742959572483
48,5,"PGLSSEYOPTIM",1.4e-51,-0.158986700016361,-4.76213299109633
48,5,"Compar",2.33194574761342e-10,-0.158986700016361,-10.8660992299249
50,1,"PGLSSEY",1.7e-48,1.26908779795521,2.78537054085457
50,1,"PGLSSEYOPTIM",6.7e-49,1.26908779795521,2.76545786633875
50,1,"Compar",7.00974212008987e-08,1.26908779795521,5.4110278696354
47,10,"PGLSSEY",5.8e-55,-1.40438301957018,-4.56504566840225
47,10,"PGLSSEYOPTIM",1.7e-56,-1.40438301957018,-4.62036330954003
47,10,"Compar",8.4821039081362e-14,-1.40438301957018,-9.35024444221389
48,1,"PGLSSEY",6.5e-36,0.511076428532577,1.81439814210671
48,1,"PGLSSEYOPTIM",6.6e-35,0.511076428532577,1.96619335804676
48,1,"Compar",1.92208426952334e-08,0.511076428532577,5.67255913672237
47,5,"PGLSSEY",3.4e-45,-0.0872639422656267,-3.23758020632383
47,5,"PGLSSEYOPTIM",2.9e-44,-0.0872639422656267,-3.25476494779263
47,5,"Compar",6.87897538931281e-09,-0.0872639422656267,-6.0687633879765
49,10,"PGLSSEY",1.8e-24,-1.51032320087478,-1.05264933742152
49,10,"PGLSSEYOPTIM",1.1e-24,-1.51032320087478,-0.973726732293083
49,10,"Compar",8.65736504707115e-09,-1.51032320087478,-2.27890533524551
48,20,"PGLSSEY",1.1e-53,0.491379574455077,3.75919994438648
48,20,"PGLSSEYOPTIM",9.7e-54,0.491379574455077,3.76564999725953
48,20,"Compar",3.20565796130268e-12,0.491379574455077,8.55368814324696
47,20,"PGLSSEY",1.1e-52,0.801841269895198,4.08101711130592
47,20,"PGLSSEYOPTIM",1.2e-53,0.801841269895198,4.12909829168043
47,20,"Compar",1.19682042054592e-12,0.801841269895198,8.88797491691261
46,5,"PGLSSEY",4e-43,-1.95154107779277,-3.11455339238438
46,5,"PGLSSEYOPTIM",3.4e-48,-1.95154107779277,-3.10502111929162
46,5,"Compar",2.59886601128301e-09,-1.95154107779277,-6.59720700456629
47,1,"PGLSSEY",2.4e-37,1.16276598392411,2.18950251842855
47,1,"PGLSSEYOPTIM",6.3e-37,1.16276598392411,2.18288750325374
47,1,"Compar",5.04113373267501e-09,1.16276598392411,4.14764392125726
46,10,"PGLSSEY",1.3e-39,-1.34751329111931,-2.44931603337642
46,10,"PGLSSEYOPTIM",3.8e-42,-1.34751329111931,-2.41755363393058
46,10,"Compar",6.30264729295504e-11,-1.34751329111931,-5.20670305844153
47,5,"PGLSSEY",1.7e-54,0.176304662756475,3.71544918571977
47,5,"PGLSSEYOPTIM",6.5e-56,0.176304662756475,3.75178013282535
47,5,"Compar",1.2774403757021e-10,0.176304662756475,7.61181172427197
46,10,"PGLSSEY",5.7e-59,-1.21810446152597,-6.1674697457182
46,10,"PGLSSEYOPTIM",6.4e-61,-1.21810446152597,-6.14452730784727
46,10,"Compar",1.98063787593128e-12,-1.21810446152597,-12.4610698826921
49,1,"PGLSSEY",4.1e-55,-1.83138364481921,-4.67988952978108
49,1,"PGLSSEYOPTIM",1e-56,-1.83138364481921,-4.73805605346616
49,1,"Compar",9.53855030516593e-08,-1.83138364481921,-10.815539026634
46,5,"PGLSSEY",4.3e-57,-0.740051442275452,-4.37631086108397
46,5,"PGLSSEYOPTIM",4.9e-56,-0.740051442275452,-4.39310725332686
46,5,"Compar",1.61293201017543e-12,-0.740051442275452,-9.59679329621406
46,20,"PGLSSEY",3.6e-37,1.89808412985911,1.91460170856645
46,20,"PGLSSEYOPTIM",1.1e-37,1.89808412985911,1.94711552432595
46,20,"Compar",4.83613149526718e-13,1.89808412985911,4.76999838144436
46,20,"PGLSSEY",3.3e-49,-0.852184059390399,-3.80341994714125
46,20,"PGLSSEYOPTIM",3.8e-47,-0.852184059390399,-3.81449654351375
46,20,"Compar",2.89852586377037e-11,-0.852184059390399,-8.22129597764097
47,10,"PGLSSEY",2.5e-63,-1.41352558648524,-5.7633841284457
47,10,"PGLSSEYOPTIM",7.1e-66,-1.41352558648524,-5.76149155484222
47,10,"Compar",1.37667655053519e-12,-1.41352558648524,-12.724455994161
NA,NA,"PGLSSEY",NA,NA,NA
NA,NA,"PGLSSEYOPTIM",NA,NA,NA
NA,NA,"Compar",NA,NA,NA
46,1,"PGLSSEY",6.2e-52,-1.48248454098515,-4.10821036573526
46,1,"PGLSSEYOPTIM",5.8e-51,-1.48248454098515,-4.06513673658085
46,1,"Compar",4.55445599456539e-07,-1.48248454098515,-10.7431495969816
46,10,"PGLSSEY",4.6e-43,-1.85940217197771,-3.04100383893671
46,10,"PGLSSEYOPTIM",3.4e-43,-1.85940217197771,-2.92702431468266
46,10,"Compar",6.84252654536976e-12,-1.85940217197771,-6.40051597643075
46,5,"PGLSSEY",2e-46,1.56138179934756,3.8016951962052
46,5,"PGLSSEYOPTIM",1.3e-45,1.56138179934756,3.86575984414674
46,5,"Compar",3.34048344541316e-10,1.56138179934756,8.76060784960319
45,1,"PGLSSEY",1.8e-31,0.726206133852451,1.48835325558579
45,1,"PGLSSEYOPTIM",2.2e-31,0.726206133852451,1.46989153167118
45,1,"Compar",3.23191228890352e-07,0.726206133852451,3.82589302899897
48,5,"PGLSSEY",8.2e-43,-0.446420476039745,-2.4965550325665
48,5,"PGLSSEYOPTIM",1.4e-43,-0.446420476039745,-2.48547219558149
48,5,"Compar",7.39455163767389e-11,-0.446420476039745,-5.6774463138597
47,20,"PGLSSEY",5.7e-43,-0.180796951429398,-3.00684028904855
47,20,"PGLSSEYOPTIM",1.2e-42,-0.180796951429398,-2.99148428110535
47,20,"Compar",9.1878948893509e-11,-0.180796951429398,-6.75040536279494
48,10,"PGLSSEY",1.2e-38,-1.51596284083097,-1.77355469847289
48,10,"PGLSSEYOPTIM",1.4e-35,-1.51596284083097,-1.77725645430901
48,10,"Compar",7.12807590730336e-12,-1.51596284083097,-4.9157369716221
43,1,"PGLSSEY",8.9e-44,-0.346572319065929,-3.75106497006168
43,1,"PGLSSEYOPTIM",4.4e-42,-0.346572319065929,-3.75070915542989
43,1,"Compar",2.50560744763373e-05,-0.346572319065929,-6.9777469481765
47,20,"PGLSSEY",3.1e-59,0.524496142076142,5.86597632900792
47,20,"PGLSSEYOPTIM",1.1e-57,0.524496142076142,5.90543779618718
47,20,"Compar",2.5015545190854e-12,0.524496142076142,12.6691403513025
50,10,"PGLSSEY",3.3e-43,-0.71259959326608,-3.1934677135711
50,10,"PGLSSEYOPTIM",1.3e-43,-0.71259959326608,-3.25553075741717
50,10,"Compar",1.11007647518591e-10,-0.71259959326608,-8.66607130737961
47,5,"PGLSSEY",2.7e-49,-0.424004280053286,-3.78584753517217
47,5,"PGLSSEYOPTIM",1.5e-48,-0.424004280053286,-3.84402467608078
47,5,"Compar",2.53568277486238e-11,-0.424004280053286,-8.51880720701354
42,1,"PGLSSEY",9.1e-38,-0.70081294648561,-2.98495647191322
42,1,"PGLSSEYOPTIM",3.3e-38,-0.70081294648561,-3.13601613192692
42,1,"Compar",6.42667396544283e-06,-0.70081294648561,-6.68906154825197
46,10,"PGLSSEY",2.3e-54,0.000636522688995278,4.11191432164803
46,10,"PGLSSEYOPTIM",5.3e-56,0.000636522688995278,4.09905434278859
46,10,"Compar",1.65864100232227e-09,0.000636522688995278,8.96252715113998
47,20,"PGLSSEY",5.9e-59,-0.559563296937655,-5.60215188176
47,20,"PGLSSEYOPTIM",9.7e-57,-0.559563296937655,-5.62723369350847
47,20,"Compar",7.90700838138036e-11,-0.559563296937655,-12.2890159977683
44,10,"PGLSSEY",4.8e-45,-0.60917768690478,-3.13473237202977
44,10,"PGLSSEYOPTIM",7.8e-48,-0.60917768690478,-3.14102515853446
44,10,"Compar",2.91702217936063e-10,-0.60917768690478,-6.42277517757839
47,5,"PGLSSEY",2.1e-54,0.0758411185291954,4.86880045981036
47,5,"PGLSSEYOPTIM",4.8e-53,0.0758411185291954,4.84944405163634
47,5,"Compar",4.67546890092763e-10,0.0758411185291954,10.8358553227966
47,1,"PGLSSEY",6.4e-37,0.655443900342177,1.68123331712179
47,1,"PGLSSEYOPTIM",1.7e-40,0.655443900342177,1.72525062460993
47,1,"Compar",1.25499610703628e-10,0.655443900342177,5.45909646715637
45,20,"PGLSSEY",6.1e-40,1.09789483537016,2.51920137757831
45,20,"PGLSSEYOPTIM",3.9e-39,1.09789483537016,2.4577842561788
45,20,"Compar",8.76898553769934e-12,1.09789483537016,5.72644575480047
43,5,"PGLSSEY",1.7e-32,-1.009426625902,-2.28033084603955
43,5,"PGLSSEYOPTIM",8.5e-33,-1.009426625902,-2.2184070121927
43,5,"Compar",1.4619361721202e-08,-1.009426625902,-6.09590871516806
49,1,"PGLSSEY",2.4e-47,1.44672964814114,2.99069460652803
49,1,"PGLSSEYOPTIM",1.3e-45,1.44672964814114,2.95886886061652
49,1,"Compar",2.94006412548953e-08,1.44672964814114,5.10923468215375
48,10,"PGLSSEY",7.6e-50,-1.22653300667155,-3.96011421866533
48,10,"PGLSSEYOPTIM",6.6e-48,-1.22653300667155,-3.99203755191079
48,10,"Compar",2.04922745439262e-11,-1.22653300667155,-8.8483072273097
48,1,"PGLSSEY",2.1e-37,1.51553724595153,1.14593420575309
48,1,"PGLSSEYOPTIM",6.7e-32,1.51553724595153,1.3060960512185
48,1,"Compar",1.10715294709962e-08,1.51553724595153,2.84072097053735
46,20,"PGLSSEY",2.5e-39,-1.22671709841982,-2.44434818693936
46,20,"PGLSSEYOPTIM",2.6e-40,-1.22671709841982,-2.49128115900158
46,20,"Compar",3.57069929179943e-12,-1.22671709841982,-5.18917036361891
49,10,"PGLSSEY",1e-45,-0.480786267668834,-2.80756692852519
49,10,"PGLSSEYOPTIM",2.3e-48,-0.480786267668834,-2.83039386259055
49,10,"Compar",4.46442882662268e-12,-0.480786267668834,-5.80766148374357
46,5,"PGLSSEY",2.6e-38,-0.0185696137748843,-2.24122772764296
46,5,"PGLSSEYOPTIM",4.6e-43,-0.0185696137748843,-2.24302675356564
46,5,"Compar",4.20000501044626e-08,-0.0185696137748843,-4.79729854484083
46,5,"PGLSSEY",3.9e-54,-1.20811165759508,-5.34581430448959
46,5,"PGLSSEYOPTIM",1.2e-55,-1.20811165759508,-5.32436235617793
46,5,"Compar",4.17146317488459e-11,-1.20811165759508,-11.6103549489267
45,20,"PGLSSEY",6.3e-27,-0.805307134870413,-1.30535484656792
45,20,"PGLSSEYOPTIM",1.9e-26,-0.805307134870413,-1.30406124325602
45,20,"Compar",1.09237063838918e-10,-0.805307134870413,-3.36943320227653
48,1,"PGLSSEY",3.2e-61,-1.67241085131221,-6.14498567547253
48,1,"PGLSSEYOPTIM",1.4e-62,-1.67241085131221,-6.19190240257646
48,1,"Compar",1.74589871781983e-06,-1.67241085131221,-12.4128456803307
48,1,"PGLSSEY",2.4e-41,-1.73624836959403,-2.56067888169878
48,1,"PGLSSEYOPTIM",1.2e-38,-1.73624836959403,-2.49267364608537
48,1,"Compar",6.52772671472235e-08,-1.73624836959403,-5.52708551888622
49,10,"PGLSSEY",1.4e-43,0.710788582415326,2.49424357333828
49,10,"PGLSSEYOPTIM",4e-42,0.710788582415326,2.50873545433079
49,10,"Compar",7.64721619361808e-13,0.710788582415326,5.47159727272661
44,20,"PGLSSEY",4.5e-42,-0.393719064512654,-2.90369672567347
44,20,"PGLSSEYOPTIM",9.9e-44,-0.393719064512654,-2.87062530526928
44,20,"Compar",2.72469069528825e-09,-0.393719064512654,-6.03327426600879
46,10,"PGLSSEY",1e-37,-0.576445018849467,-2.39611362811523
46,10,"PGLSSEYOPTIM",3.3e-38,-0.576445018849467,-2.32620147217971
46,10,"Compar",1.05469251110435e-08,-0.576445018849467,-5.285293810258
43,5,"PGLSSEY",2.3e-46,0.0384461991481508,4.22956908564289
43,5,"PGLSSEYOPTIM",1.1e-46,0.0384461991481508,4.25837258867355
43,5,"Compar",1.59140078892506e-09,0.0384461991481508,11.1681748850147
46,5,"PGLSSEY",1.8e-41,0.208492765986942,2.96989705588466
46,5,"PGLSSEYOPTIM",2.8e-44,0.208492765986942,2.97106548391357
46,5,"Compar",1.29027810658044e-09,0.208492765986942,6.7881219001703
47,20,"PGLSSEY",3.6e-27,-1.92194435553728,-1.38921568220689
47,20,"PGLSSEYOPTIM",1.8e-29,-1.92194435553728,-1.48103559725977
47,20,"Compar",3.08723713260406e-10,-1.92194435553728,-3.54852199750217
48,1,"PGLSSEY",1.4e-49,0.872661340402802,3.41703344494581
48,1,"PGLSSEYOPTIM",3.8e-49,0.872661340402802,3.47352518801403
48,1,"Compar",2.79536171987615e-10,0.872661340402802,8.51949032149383
47,1,"PGLSSEY",1.5e-64,-1.11500633413003,-7.56307364232406
47,1,"PGLSSEYOPTIM",8e-65,-1.11500633413003,-7.58410388706978
47,1,"Compar",4.97940155774756e-09,-1.11500633413003,-23.5735718032089
44,10,"PGLSSEY",1.7e-53,-1.78883575649882,-3.68606460388536
44,10,"PGLSSEYOPTIM",3.7e-55,-1.78883575649882,-3.67712862332553
44,10,"Compar",4.63129534722384e-11,-1.78883575649882,-7.29040751329686
46,20,"PGLSSEY",5.8e-56,1.39198566170712,5.24581942445834
46,20,"PGLSSEYOPTIM",4.1e-57,1.39198566170712,5.26695656745862
46,20,"Compar",1.04736219697088e-10,1.39198566170712,11.16318254165
47,20,"PGLSSEY",1.4e-36,-0.841085207403107,-2.01461063837427
47,20,"PGLSSEYOPTIM",4.7e-35,-0.841085207403107,-2.03144317286531
47,20,"Compar",3.97459842815806e-12,-0.841085207403107,-4.59444572116491
44,5,"PGLSSEY",9.4e-39,0.54537792909858,2.43756759563525
44,5,"PGLSSEYOPTIM",1.6e-37,0.54537792909858,2.50273326467109
44,5,"Compar",6.94511115284513e-12,0.54537792909858,5.66985918172311
45,5,"PGLSSEY",4.5e-44,-1.75651969233437,-2.90410682746666
45,5,"PGLSSEYOPTIM",9.3e-46,-1.75651969233437,-2.89674771676597
45,5,"Compar",6.79409195569747e-10,-1.75651969233437,-6.66697644376097
49,10,"PGLSSEY",9.7e-61,-1.86732833003725,-6.02313031090853
49,10,"PGLSSEYOPTIM",1e-60,-1.86732833003725,-5.99645128895125
49,10,"Compar",1.76254566497391e-11,-1.86732833003725,-12.6559581437725
47,1,"PGLSSEY",1.2e-53,-0.68851751536402,-5.08651379300116
47,1,"PGLSSEYOPTIM",1.5e-55,-0.68851751536402,-5.08089484530427
47,1,"Compar",7.77250908079452e-09,-0.68851751536402,-10.5581314688517
47,1,"PGLSSEY",2.3e-48,0.316980542133551,3.81548167314254
47,1,"PGLSSEYOPTIM",1.3e-49,0.316980542133551,3.74620889508522
47,1,"Compar",1.58612431633287e-07,0.316980542133551,8.66237960128603
48,10,"PGLSSEY",4.3e-32,-0.578314822234558,-1.77551507119543
48,10,"PGLSSEYOPTIM",1.7e-32,-0.578314822234558,-1.70477661291885
48,10,"Compar",1.5266832242844e-09,-0.578314822234558,-4.94256143272514
46,20,"PGLSSEY",1.6e-48,1.07850580949551,3.50775979875336
46,20,"PGLSSEYOPTIM",1.8e-48,1.07850580949551,3.4041933099569
