"n","min","model","pval","simslope","slope"
43,1,"PGLSSEYOPTIM",0.00022,-0.2,-0.00800344113860482
43,1,"Compar",0.10791514667843,-0.2,-0.102761290688086
43,1,"PGLSSEY",0.67,0,-1.2041181945582e-08
43,1,"PGLSSEYOPTIM",0.29,0,-1.55460324274873e-08
43,1,"Compar",0.855867854536802,0,-0.0300412020764634
43,1,"PGLSSEY",0.0051,-0.2,-0.00341307371819633
43,1,"PGLSSEYOPTIM",0.0013,-0.2,-0.00341973224323807
43,1,"Compar",0.731771710766702,-0.2,-0.0228006355405004
44,1,"PGLSSEY",0.00085,0.021,0.00114725748774788
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131765205178164
44,1,"Compar",0.64332100637743,0.021,0.0310124400344078
43,1,"PGLSSEY",0.032,0,-6.04540897702334e-08
43,1,"PGLSSEYOPTIM",0.028,0,-5.62509130460541e-08
43,1,"Compar",0.39480650742475,0,0.23394596046479
43,1,"PGLSSEY",0.00092,-0.2,-0.00830780097087091
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.0080093778932195
43,1,"Compar",9.40099453390353e-05,-0.2,-0.496060437071997
44,1,"PGLSSEY",0.015,0.021,0.000684187942529026
44,1,"PGLSSEYOPTIM",0.025,0.021,0.0005285377400502
44,1,"Compar",0.980417909275874,0.021,-0.00320758855415693
43,1,"PGLSSEY",0.88,0,-4.13688613076039e-09
43,1,"PGLSSEYOPTIM",0.91,0,-3.09086387496601e-09
43,1,"Compar",0.809235256109659,0,-0.0431854092779693
43,1,"PGLSSEY",0.00092,-0.2,-0.00830781674110882
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800924289570114
43,1,"Compar",0.00299908291582285,-0.2,-0.226993300805158
44,1,"PGLSSEY",0.00085,0.021,0.00114723449736396
44,1,"PGLSSEYOPTIM",0.0072,0.021,0.00067177596403127
44,1,"Compar",0.507905858326757,0.021,-0.0676943998438033
43,1,"PGLSSEY",0.00092,-0.2,-0.00830776894176751
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800930782070194
43,1,"Compar",0.239391202318706,-0.2,-0.0729146866481698
43,1,"PGLSSEY",0.1,0,-4.39321032320288e-08
43,1,"PGLSSEYOPTIM",0.13,0,-4.44255038201698e-08
43,1,"Compar",0.401949117085212,0,-0.115923406649143
43,1,"PGLSSEY",0.00092,-0.2,-0.00830772619621074
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800956372071479
43,1,"Compar",6.00177855627493e-05,-0.2,-0.598099578138558
44,1,"PGLSSEY",0.00085,0.021,0.00114724421895357
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131685228506648
44,1,"Compar",0.816928142476937,0.021,0.0193500271898055
43,1,"PGLSSEY",0.00091,-0.2,-0.00831193765986274
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800940234111747
43,1,"Compar",0.0735242681956167,-0.2,-0.15457028445496
43,1,"PGLSSEY",0.36,0,-2.83040898144041e-08
43,1,"PGLSSEYOPTIM",0.29,0,-3.3038569997146e-08
43,1,"Compar",0.0836617437667762,0,-0.316725736973143
44,1,"PGLSSEY",0.00085,0.021,0.00114724697093375
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131402860437351
44,1,"Compar",0.595807376261531,0.021,0.0410472003523553
43,1,"PGLSSEY",0.0037,-0.2,-0.00418510191367811
43,1,"PGLSSEYOPTIM",0.0034,-0.2,-0.00356675550795263
43,1,"Compar",0.986039177282546,-0.2,0.000638381407220417
43,1,"PGLSSEY",0.64,0,1.41085324932143e-08
43,1,"PGLSSEYOPTIM",0.66,0,6.74830045056403e-09
43,1,"Compar",0.706904837577596,0,-0.0646582611699573
43,1,"PGLSSEY",0.00092,-0.2,-0.00830775601836073
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800925681826129
43,1,"Compar",0.0210599611446824,-0.2,-0.16112257500908
44,1,"PGLSSEY",0.00085,0.021,0.00114724378903521
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131404983214962
44,1,"Compar",0.317758211255563,0.021,0.0908448283410959
43,1,"PGLSSEY",0.6,0,1.23191440490624e-08
43,1,"PGLSSEYOPTIM",0.54,0,1.4472515060524e-08
43,1,"Compar",0.844442360583217,0,-0.050282695108782
43,1,"PGLSSEY",0.00092,-0.2,-0.00809718657989848
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800928043315561
43,1,"Compar",0.0101004402636242,-0.2,-0.247699679224088
43,1,"PGLSSEY",0.21,0,-3.59877874664428e-08
43,1,"PGLSSEYOPTIM",0.21,0,-3.50327720124804e-08
43,1,"Compar",0.449668672204574,0,-0.137165551723002
44,1,"PGLSSEY",0.00085,0.021,0.00114722012361847
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131399377952142
44,1,"Compar",0.891847549085522,0.021,-0.00838930895620349
43,1,"PGLSSEY",0.0084,-0.2,-0.00288267618190554
43,1,"PGLSSEYOPTIM",0.0011,-0.2,-0.00289963611676232
43,1,"Compar",0.945926988238963,-0.2,-0.00259307966871569
43,1,"PGLSSEY",0.71,0,9.71483655897386e-09
43,1,"PGLSSEYOPTIM",0.21,0,-3.50327720124804e-08
43,1,"Compar",0.1718362634279,0,-0.333976348219892
43,1,"PGLSSEY",0.00092,-0.2,-0.00830778963737222
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800929512461668
43,1,"Compar",0.176863053271026,-0.2,-0.0773382109226506
44,1,"PGLSSEY",0.00085,0.021,0.00114724472255079
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.0013140154475697
44,1,"Compar",0.17839970329222,0.021,0.135695203660371
43,1,"PGLSSEY",0.7,0,9.26716546098233e-09
43,1,"PGLSSEYOPTIM",0.74,0,7.84492411818956e-09
43,1,"Compar",0.606740488446277,0,-0.092825666886484
43,1,"PGLSSEY",0.00092,-0.2,-0.00830771974116251
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800985833802457
43,1,"Compar",0.0427070544885115,-0.2,-0.192963484658492
44,1,"PGLSSEY",0.00085,0.021,0.00114721799979277
44,1,"PGLSSEYOPTIM",0.00053,0.021,0.000971913024155097
44,1,"Compar",0.772281535741079,0.021,-0.0272705075250093
43,1,"PGLSSEY",0.4,0,-2.28454339239277e-08
43,1,"PGLSSEYOPTIM",0.23,0,1.71787492872617e-08
43,1,"Compar",0.278390982909378,0,-0.132055794772776
43,1,"PGLSSEY",0.00092,-0.2,-0.00830780399562763
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800940542950699
43,1,"Compar",0.154725970947912,-0.2,-0.0930279288922049
44,1,"PGLSSEY",0.00085,0.021,0.00114723901565357
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131698212455487
44,1,"Compar",0.0360232697193701,0.021,0.207029305818275
43,1,"PGLSSEY",0.0011,-0.2,-0.00759938802328591
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00802718364742166
43,1,"Compar",0.000689296642127246,-0.2,-0.521591486100354
43,1,"PGLSSEY",0.46,0,-1.93439959466016e-08
43,1,"PGLSSEYOPTIM",0.41,0,-2.16228924440295e-08
43,1,"Compar",0.756807656564379,0,-0.048848543857376
43,1,"PGLSSEY",0.52,0,1.95068896578656e-08
43,1,"PGLSSEYOPTIM",0.34,0,2.74774664962493e-08
43,1,"Compar",0.350740997394807,0,0.230717823750742
44,1,"PGLSSEY",0.00085,0.021,0.00114724985328023
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131428159036002
44,1,"Compar",0.276742785177334,0.021,0.142481090942044
43,1,"PGLSSEY",0.0015,-0.2,-0.0070938913254275
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800927019881104
43,1,"Compar",0.133981246840962,-0.2,-0.0793683325022827
43,1,"PGLSSEY",0.45,0,2.22872313952391e-08
43,1,"PGLSSEYOPTIM",0.43,0,2.21322583955161e-08
43,1,"Compar",0.570532243701172,0,0.100250237650468
43,1,"PGLSSEY",0.0025,-0.2,-0.00517633109675878
43,1,"PGLSSEYOPTIM",0.0012,-0.2,-0.00497360575476327
43,1,"Compar",0.856088698956103,-0.2,0.0111300647312849
43,1,"PGLSSEY",0.69,0,-1.18761124327785e-08
43,1,"PGLSSEYOPTIM",0.61,0,-1.55713881879882e-08
43,1,"Compar",0.403155036542271,0,-0.129623848928367
44,1,"PGLSSEY",0.00085,0.021,0.0011472481398765
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131403489652896
44,1,"Compar",0.0878489896095038,0.021,0.137312930967814
43,1,"PGLSSEY",0.00092,-0.2,-0.00830782007306817
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800935752726019
43,1,"Compar",0.0118595367123886,-0.2,-0.310184553831728
44,1,"PGLSSEY",0.00085,0.021,0.00114724556291888
44,1,"PGLSSEYOPTIM",0.039,0.021,0.000434528894427792
44,1,"Compar",0.582169594505963,0.021,0.0523546816731302
43,1,"PGLSSEY",0.00092,-0.2,-0.00830775585286189
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800960244397755
43,1,"Compar",0.0515783589579,-0.2,-0.134525830094276
